idx,baseline_x,baseline_y,rl_x,rl_y,baseline_label,rl_label
0,0.02,0.021209716796875,0.02,0.017755126953125002,baseline:los_exposed_ema,rl:csv:los_exposed_ema
1,4.0200000000000005,0.3512773585858015,4.0200000000000005,0.33838116103060917,baseline:los_exposed_ema,rl:csv:los_exposed_ema
2,8.02,0.3481607303478985,8.02,0.3224513419840044,baseline:los_exposed_ema,rl:csv:los_exposed_ema
3,12.02,0.3469208568805477,12.02,0.31803251521484105,baseline:los_exposed_ema,rl:csv:los_exposed_ema
4,16.02,0.3453373971143176,16.02,0.31982792522808456,baseline:los_exposed_ema,rl:csv:los_exposed_ema
5,20.02,0.34231371982062914,20.02,0.3154564153888696,baseline:los_exposed_ema,rl:csv:los_exposed_ema
6,24.02,0.34328151977939525,24.02,0.3176430090262664,baseline:los_exposed_ema,rl:csv:los_exposed_ema
7,28.02,0.3418114324615385,28.02,0.3132528552299837,baseline:los_exposed_ema,rl:csv:los_exposed_ema
8,32.02,0.3413188513622521,32.02,0.31267604735490606,baseline:los_exposed_ema,rl:csv:los_exposed_ema
9,36.02,0.34161099058706434,36.02,0.31136126117540364,baseline:los_exposed_ema,rl:csv:los_exposed_ema
10,40.02,0.33822830249047403,40.02,0.3126255071853283,baseline:los_exposed_ema,rl:csv:los_exposed_ema
11,44.02,0.33762331416525826,44.02,0.311584176902638,baseline:los_exposed_ema,rl:csv:los_exposed_ema
12,48.02,0.33687125516938043,48.02,0.30526227672101064,baseline:los_exposed_ema,rl:csv:los_exposed_ema
13,52.02,0.3349734394149411,52.02,0.3098085898800569,baseline:los_exposed_ema,rl:csv:los_exposed_ema
14,56.02,0.3312567179666057,56.02,0.31263394405125816,baseline:los_exposed_ema,rl:csv:los_exposed_ema
15,60.02,0.3364424380283697,60.02,0.31196647438318953,baseline:los_exposed_ema,rl:csv:los_exposed_ema
16,64.02,0.3379189343051647,64.02,0.32134622979689476,baseline:los_exposed_ema,rl:csv:los_exposed_ema
17,68.02,0.3426242493847805,68.02,0.3182902671310286,baseline:los_exposed_ema,rl:csv:los_exposed_ema
18,72.02,0.34379486614469984,72.02,0.31603577880139083,baseline:los_exposed_ema,rl:csv:los_exposed_ema
19,76.02,0.34389330843204957,76.02,0.31829141835353864,baseline:los_exposed_ema,rl:csv:los_exposed_ema
20,80.02,0.3438049964146943,80.02,0.31769605748501617,baseline:los_exposed_ema,rl:csv:los_exposed_ema
21,84.02,0.34549164166794,84.02,0.31981563835793453,baseline:los_exposed_ema,rl:csv:los_exposed_ema
