x_des,y_des,psi_des
3.273068666458129883e+00,-9.979411959648132324e-02,-1.861181846150506303e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.354029072210027662e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.349473225105834562e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.337478229350734571e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.319058726453520292e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.286135418237399852e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.265742655224386226e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.251782010424980385e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.242794820146117640e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.233201928563533389e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.226880347984802944e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.220157038223460999e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.217528195956130377e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.212119991080043091e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.205813462499164768e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.201535484570096957e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.198970593065849854e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.199471569784965386e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.200129384752568473e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.196773532012183505e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.197571166022544764e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.193853104564616796e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.193303453285609939e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.190384813544479004e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.187796871316148195e+00
3.326849286154438978e+00,-3.439408888666909414e-01,-1.185689722886941633e+00
3.547252535527735340e+00,-4.619341414945108415e-01,-6.247093219138424303e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-6.084717094534480841e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.933975375235195360e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.776242176949447638e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.614394832929777701e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.424418493864768820e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.307962064828317672e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.201946325036209684e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.155116254296620015e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.089525437488522375e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.038197654962728311e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-5.000317193739504118e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.959617977940446454e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.899580052932938079e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.861914247453454907e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.806188564814289910e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.798110759031095629e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.787966237351420906e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.799003655261173118e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.822611119910038546e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.849124929596477229e-01
3.547252535527735340e+00,-4.619341414945108415e-01,-4.858242753280856419e-01
