x,y,yaw
3.273080110549926758e+00,-9.975582361221313477e-02,-2.083506587750880268e+00
3.273074865341186523e+00,-9.976416081190109253e-02,-2.083446605569404753e+00
3.271911621093750000e+00,-9.978336095809936523e-02,-2.067867875933951716e+00
3.268450975418090820e+00,-9.820443391799926758e-02,-1.991310631812835297e+00
3.261825084686279297e+00,-9.583497047424316406e-02,-1.842741363866076343e+00
3.253848552703857422e+00,-9.445737302303314209e-02,-1.677311671079927402e+00
3.248201847076416016e+00,-9.417308866977691650e-02,-1.567982284088941691e+00
3.244275331497192383e+00,-9.394089877605438232e-02,-1.481978363158769518e+00
3.241929054260253906e+00,-9.439086914062500000e-02,-1.436030821986780115e+00
3.239322423934936523e+00,-9.459973871707916260e-02,-1.380796532051216108e+00
3.237445831298828125e+00,-9.515378624200820923e-02,-1.342450968711350168e+00
3.235889196395874023e+00,-9.524831175804138184e-02,-1.310849755938688688e+00
3.235131978988647461e+00,-9.549025446176528931e-02,-1.294581331730263241e+00
3.233873844146728516e+00,-9.593521803617477417e-02,-1.267134455530822379e+00
3.233207941055297852e+00,-9.887218475341796875e-02,-1.235463397220362358e+00
3.238382577896118164e+00,-1.153524518013000488e-01,-1.214145688607979334e+00
3.244582653045654297e+00,-1.329818964004516602e-01,-1.204642548955560999e+00
3.256128072738647461e+00,-1.623194366693496704e-01,-1.203890897087324774e+00
3.264946937561035156e+00,-1.850508898496627808e-01,-1.202197755324441619e+00
3.272327661514282227e+00,-2.050317227840423584e-01,-1.199383468582197576e+00
3.279189586639404297e+00,-2.222290486097335815e-01,-1.198428870870746898e+00
3.284216403961181641e+00,-2.362474501132965088e-01,-1.197032545320679153e+00
3.288574218750000000e+00,-2.474106401205062866e-01,-1.198161630017889445e+00
3.293370008468627930e+00,-2.602196633815765381e-01,-1.198917088031166811e+00
3.297013282775878906e+00,-2.698868215084075928e-01,-1.197600981657914287e+00
3.300736904144287109e+00,-2.795209288597106934e-01,-1.197013091813248664e+00
3.302889823913574219e+00,-2.857382297515869141e-01,-1.194591056151281361e+00
3.305693149566650391e+00,-2.936526536941528320e-01,-1.190874927955800633e+00
3.306415557861328125e+00,-2.994925975799560547e-01,-1.164016119675017835e+00
3.303473949432373047e+00,-3.030445873737335205e-01,-1.072416064987988360e+00
3.298875570297241211e+00,-3.057157993316650391e-01,-9.659483237117809651e-01
3.294056653976440430e+00,-3.093193769454956055e-01,-8.483194962059110722e-01
3.291308164596557617e+00,-3.116981089115142822e-01,-7.742787594582307698e-01
3.288807153701782227e+00,-3.138913810253143311e-01,-7.049676888627134375e-01
3.287967681884765625e+00,-3.150188624858856201e-01,-6.739228853141203679e-01
3.286680698394775391e+00,-3.165391385555267334e-01,-6.332050645388407339e-01
