x_des,y_des,psi_des
-1.288626343011856079e-02,-5.274718860164284706e-04,0.000000000000000000e+00
1.281499848460043722e-07,4.000000879168510437e-01,1.538633875970443210e+00
-1.298052724450826645e-02,-1.004301244392991066e-03,0.000000000000000000e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475131938239023111e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475131938239023111e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475212335319726176e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475330813763609861e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475445652842895861e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475445652842895861e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475289483844634653e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475520460220743235e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475520460220743235e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475345021490483077e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475380106152794912e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475315702321689404e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475281882901274155e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475281882901274155e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475174214297891861e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475135835427863640e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475110918474130894e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475086438858261850e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475036990690894001e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475036990690894001e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474974104636101124e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474962202659765964e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474921454796959353e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474921454796959353e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474873156406894203e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474860981112347869e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474798302388263593e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474803574451226229e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474790259886773924e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474721978593527716e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474721978593527716e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474721978593527716e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474704453107471558e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474704453107471558e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474720196699165875e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474671681235980358e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474671296709593182e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474671296709593182e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474657576516414714e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474669121623022328e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474668430298584187e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474654459651649319e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474654459651649319e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474670383202732360e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474632681200465534e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474584938801180911e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474625241659554220e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474653596189976490e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474653596189976490e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474692478508349947e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474676370874766107e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474666858502621025e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474630550526530914e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474630550526530914e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474647422264315111e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474643024503165645e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474610992517713548e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474608849099930730e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474634994991918191e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474611684907547904e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474646268480528821e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474674715635968525e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474671884414290535e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474615983714214540e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474615983714214540e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474639035362015793e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474651939945145873e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474615007395617461e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474604367428357321e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474599911468776003e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474523542199679849e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474523542199679849e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474492831261367876e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474440844107988813e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474429753593225811e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474397580317351686e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474326865300900291e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474205016674474233e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474323296158555063e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474420432850568563e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474459894577065278e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474489632772730374e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474575177882464949e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474616503361772413e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474638716859963061e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474688261596080352e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474688261596080352e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.474872212589845688e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475004101834417103e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475004101834417103e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475004101834417103e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475185731752776341e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475255880327752234e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475511781956432067e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475619996625770813e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475749647494553951e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475926742135269976e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475926742135269976e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476072194143749794e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476146852178927826e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476259322058029344e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476337795542249420e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476504407821681575e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476622874716187805e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476622874716187805e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476717268512269587e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476820675756274515e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476901824222218274e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476927835671305811e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477014969001448907e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477014969001448907e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477056656597373951e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477131177805897089e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477178334540626192e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477193846136951372e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477232140155848139e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477281898867210064e+00
