x,y,yaw
-5.042148754000663757e-03,1.976734586060047150e-02,3.744098862077347573e-02
-5.042148754000663757e-03,1.976734586060047150e-02,3.744098862077347573e-02
-5.042148754000663757e-03,1.976734586060047150e-02,3.744098862077347573e-02
-4.594387486577033997e-03,1.987271383404731750e-02,1.209730579818320551e-01
-4.429345950484275818e-03,2.012269943952560425e-02,2.126086484999578363e-01
-4.167443141341209412e-03,2.027283608913421631e-02,2.459367640706834890e-01
-4.167443141341209412e-03,2.027283608913421631e-02,2.459367640706834890e-01
-3.792578121647238731e-03,2.012397907674312592e-02,2.877640511228913844e-01
-3.726538969203829765e-03,2.004977874457836151e-02,2.736267376796527317e-01
-3.726538969203829765e-03,2.004977874457836151e-02,2.736267376796527317e-01
-3.611251711845397949e-03,1.987387984991073608e-02,2.219365417343167057e-01
-3.611251711845397949e-03,1.987387984991073608e-02,2.219365417343167057e-01
-3.869874170050024986e-03,1.972850039601325989e-02,1.920449332440158086e-01
-3.967045806348323822e-03,1.968519389629364014e-02,1.668159324192193815e-01
-3.803569357842206955e-03,1.958818547427654266e-02,1.272218228173588872e-01
-3.933607134968042374e-03,1.941079832613468170e-02,8.635585077891386185e-02
-3.933607134968042374e-03,1.941079832613468170e-02,8.635585077891386185e-02
-4.099926445633172989e-03,1.935403794050216675e-02,4.434495519115977391e-02
-4.436899907886981964e-03,1.933499239385128021e-02,2.126265775405322689e-02
-4.436899907886981964e-03,1.933499239385128021e-02,2.126265775405322689e-02
-4.496651235967874527e-03,1.903876662254333496e-02,-2.880538534122514815e-02
-4.496651235967874527e-03,1.903876662254333496e-02,-2.880538534122514815e-02
-4.544635768979787827e-03,1.888792030513286591e-02,-7.812725728422256766e-02
-4.544635768979787827e-03,1.888792030513286591e-02,-7.812725728422256766e-02
-4.903793800622224808e-03,1.866464503109455109e-02,-1.458585244470949893e-01
-4.903793800622224808e-03,1.866464503109455109e-02,-1.458585244470949893e-01
-4.897888284176588058e-03,1.856670528650283813e-02,-1.706762597248686897e-01
-4.897888284176588058e-03,1.856670528650283813e-02,-1.706762597248686897e-01
-5.128758028149604797e-03,1.848067529499530792e-02,-2.112018948130592322e-01
-5.440205335617065430e-03,1.814678683876991272e-02,-2.723071838465943584e-01
-5.440205335617065430e-03,1.814678683876991272e-02,-2.723071838465943584e-01
-5.797910504043102264e-03,1.808302290737628937e-02,-3.158041844686692023e-01
-5.797910504043102264e-03,1.808302290737628937e-02,-3.158041844686692023e-01
-5.797910504043102264e-03,1.808302290737628937e-02,-3.158041844686692023e-01
-6.168739870190620422e-03,1.784402318298816681e-02,-3.890252396908352450e-01
-6.250835489481687546e-03,1.781816035509109497e-02,-4.319133478935308634e-01
-6.250835489481687546e-03,1.781816035509109497e-02,-4.319133478935308634e-01
-6.233363877981901169e-03,1.768888533115386963e-02,-4.539537445847153241e-01
-6.539310794323682785e-03,1.763475500047206879e-02,-4.944702192121191997e-01
-6.858240813016891479e-03,1.777877658605575562e-02,-5.351911133135167642e-01
-6.858240813016891479e-03,1.777877658605575562e-02,-5.351911133135167642e-01
-6.908807437866926193e-03,1.772840693593025208e-02,-5.580232258853150551e-01
-6.975625175982713699e-03,1.780603639781475067e-02,-5.979268611987309523e-01
-6.975625175982713699e-03,1.780603639781475067e-02,-5.979268611987309523e-01
-6.892918609082698822e-03,1.789797469973564148e-02,-6.520481999043382659e-01
-6.892918609082698822e-03,1.789797469973564148e-02,-6.520481999043382659e-01
-6.864086259156465530e-03,1.807301491498947144e-02,-7.147371500539918543e-01
-6.903896573930978775e-03,1.793806813657283783e-02,-7.535781759765667331e-01
-6.903896573930978775e-03,1.793806813657283783e-02,-7.535781759765667331e-01
-6.903896573930978775e-03,1.793806813657283783e-02,-7.535781759765667331e-01
-6.888355128467082977e-03,1.810134574770927429e-02,-8.200199032986140724e-01
